ASIN	Title
B00KLIT8MW	ASICS Women's GEL-Nimbus 16 Ice Blue/Flash Yellow/Purple 8.5 B - Medium	
B00KLIT8YU	ASICS Women's GEL-Nimbus 16 Ice Blue/Flash Yellow/Purple 9 B - Medium	
B00KLIT9KI	ASICS Women's GEL-Nimbus 16 Ice Blue/Flash Yellow/Purple 9.5 B - Medium	
B00ESE2PR0	ASICS Women's Gel-Nimbus 16 Running Shoe,Lightning/White/Turquoise,11 M US	
B00ESE2QRY	ASICS Women's Gel-Nimbus 16 Running Shoe,Lightning/White/Turquoise,13 M US	
B00ESE2QRO	ASICS Women's Gel-Nimbus 16 Running Shoe,Lightning/White/Turquoise,5 M US	
B00ESE2RO6	ASICS Women's Gel-Nimbus 16 Running Shoe,Lightning/White/Turquoise,6 M US	
B00ESE2RMS	ASICS Women's Gel-Nimbus 16 Running Shoe,Lightning/White/Turquoise,7 M US	
B00ESE2SRW	ASICS Women's Gel-Nimbus 16 Running Shoe,Lightning/White/Turquoise,8.5 M US	
B00ESE2SSG	ASICS Women's Gel-Nimbus 16 Running Shoe,Lightning/White/Turquoise,9.5 M US	
B00ESE2VLA	ASICS Women's Gel-Nimbus 16 (D) Running Shoe,White/Periwinkle/Mint,6.5 D US	
B00ESE2WBE	ASICS Women's Gel-Nimbus 16 (D) Running Shoe,White/Periwinkle/Mint,7 D US	
B00ESE2W9G	ASICS Women's Gel-Nimbus 16 (D) Running Shoe,White/Periwinkle/Mint,7.5 D US	
B00ESE2W7S	ASICS Women's Gel-Nimbus 16 (D) Running Shoe,White/Periwinkle/Mint,9 D US	
B00ESE2WZA	ASICS Women's Gel-Nimbus 16 (D) Running Shoe,Hot Pink/Green/Black,10 D US	
B00ESE2WYQ	ASICS Women's Gel-Nimbus 16 (D) Running Shoe,Hot Pink/Green/Black,10.5 D US	
B00ESE2YQM	ASICS Women's Gel-Nimbus 16 (D) Running Shoe,Hot Pink/Green/Black,6 D US	
B00ESE2YO4	ASICS Women's Gel-Nimbus 16 (D) Running Shoe,Hot Pink/Green/Black,7.5 D US	
B00ESE2ZG6	ASICS Women's Gel-Nimbus 16 (D) Running Shoe,Hot Pink/Green/Black,9 D US	
B00ESE2ZJI	ASICS Women's GEL-Nimbus 16 (2A) Running Shoe,White/Periwinkle/Mint,10 2A US	
B00ESE2ZKM	ASICS Women's GEL-Nimbus 16 (2A) Running Shoe,White/Periwinkle/Mint,10.5 2A US	
B00ESE307O	ASICS Women's GEL-Nimbus 16 (2A) Running Shoe,White/Periwinkle/Mint,12 2A US	
B00ESE30TC	ASICS Women's GEL-Nimbus 16 (2A) Running Shoe,White/Periwinkle/Mint,5 2A US	
B00ESE30SI	ASICS Women's GEL-Nimbus 16 (2A) Running Shoe,White/Periwinkle/Mint,6 2A US	
B00ESE30R4	ASICS Women's GEL-Nimbus 16 (2A) Running Shoe,White/Periwinkle/Mint,6.5 2A US	
B00ESE30TW	ASICS Women's GEL-Nimbus 16 (2A) Running Shoe,White/Periwinkle/Mint,7 2A US	
B00ESE31EQ	ASICS Women's GEL-Nimbus 16 (2A) Running Shoe,White/Periwinkle/Mint,7.5 2A US	
B00ESE31J6	ASICS Women's GEL-Nimbus 16 (2A) Running Shoe,White/Periwinkle/Mint,8 2A US	
B00ESE31E6	ASICS Women's GEL-Nimbus 16 (2A) Running Shoe,White/Periwinkle/Mint,9 2A US	
